season,team_abbr,win_total,source
2021,NYJ,3.5,sportsbettingdime.com closing line archive
2021,PHI,8.5,sportsbettingdime.com closing line archive
2021,PIT,7.5,sportsbettingdime.com closing line archive
2021,SEA,6.5,sportsbettingdime.com closing line archive
2021,SF,9.5,sportsbettingdime.com closing line archive
2021,TB,12.5,sportsbettingdime.com closing line archive
2021,TEN,10.5,sportsbettingdime.com closing line archive
2021,WAS,7.5,sportsbettingdime.com closing line archive
2022,ARI,8.5,covers.com/sportsoddshistory (closing line)
2022,ATL,4.5,covers.com/sportsoddshistory (closing line)
2022,BAL,10.5,covers.com/sportsoddshistory (closing line)
2022,BUF,12.0,covers.com/sportsoddshistory (closing line)
2022,CAR,6.5,covers.com/sportsoddshistory (closing line)
2022,CHI,5.5,covers.com/sportsoddshistory (closing line)
2022,CIN,9.5,covers.com/sportsoddshistory (closing line)
2022,CLE,8.0,covers.com/sportsoddshistory (closing line)
2022,DAL,10.0,covers.com/sportsoddshistory (closing line)
2022,DEN,10.0,covers.com/sportsoddshistory (closing line)
2022,DET,6.5,covers.com/sportsoddshistory (closing line)
2022,GB,11.0,covers.com/sportsoddshistory (closing line)
2022,HOU,4.5,covers.com/sportsoddshistory (closing line)
2022,IND,10.0,covers.com/sportsoddshistory (closing line)
2022,JAX,6.5,covers.com/sportsoddshistory (closing line)
2022,KC,10.5,covers.com/sportsoddshistory (closing line)
2022,LA,10.5,covers.com/sportsoddshistory (closing line)
2022,LAC,10.5,covers.com/sportsoddshistory (closing line)
2022,LV,8.5,covers.com/sportsoddshistory (closing line)
2022,MIA,9.0,covers.com/sportsoddshistory (closing line)
2022,MIN,9.5,covers.com/sportsoddshistory (closing line)
2022,NE,8.5,covers.com/sportsoddshistory (closing line)
2022,NO,9.0,covers.com/sportsoddshistory (closing line)
2022,NYG,7.0,covers.com/sportsoddshistory (closing line)
2022,NYJ,5.5,covers.com/sportsoddshistory (closing line)
2022,PHI,10.0,covers.com/sportsoddshistory (closing line)
2022,PIT,7.5,covers.com/sportsoddshistory (closing line)
2022,SEA,5.5,covers.com/sportsoddshistory (closing line)
2022,SF,10.0,covers.com/sportsoddshistory (closing line)
2022,TB,11.0,covers.com/sportsoddshistory (closing line)
2022,TEN,9.0,covers.com/sportsoddshistory (closing line)
2022,WAS,7.5,covers.com/sportsoddshistory (closing line)
2023,ARI,4.5,covers.com/sportsoddshistory (closing line)
2023,ATL,8.5,covers.com/sportsoddshistory (closing line)
2023,BAL,10.0,covers.com/sportsoddshistory (closing line)
2023,BUF,10.5,covers.com/sportsoddshistory (closing line)
2023,CAR,7.5,covers.com/sportsoddshistory (closing line)
2023,CHI,7.5,covers.com/sportsoddshistory (closing line)
2023,CIN,11.0,covers.com/sportsoddshistory (closing line)
2023,CLE,9.0,covers.com/sportsoddshistory (closing line)
2023,DAL,10.0,covers.com/sportsoddshistory (closing line)
2023,DEN,8.5,covers.com/sportsoddshistory (closing line)
2023,DET,9.5,covers.com/sportsoddshistory (closing line)
2023,GB,7.5,covers.com/sportsoddshistory (closing line)
2023,HOU,6.5,covers.com/sportsoddshistory (closing line)
2023,IND,6.5,covers.com/sportsoddshistory (closing line)
2023,JAX,9.5,covers.com/sportsoddshistory (closing line)
2023,KC,11.5,covers.com/sportsoddshistory (closing line)
2023,LA,6.5,covers.com/sportsoddshistory (closing line)
2023,LAC,9.5,covers.com/sportsoddshistory (closing line)
2023,LV,6.5,covers.com/sportsoddshistory (closing line)
2023,MIA,9.5,covers.com/sportsoddshistory (closing line)
2023,MIN,8.5,covers.com/sportsoddshistory (closing line)
2023,NE,7.5,covers.com/sportsoddshistory (closing line)
2023,NO,9.5,covers.com/sportsoddshistory (closing line)
2023,NYG,7.5,covers.com/sportsoddshistory (closing line)
2023,NYJ,9.5,covers.com/sportsoddshistory (closing line)
2023,PHI,11.5,covers.com/sportsoddshistory (closing line)
2023,PIT,9.0,covers.com/sportsoddshistory (closing line)
2023,SEA,9.0,covers.com/sportsoddshistory (closing line)
2023,SF,11.0,covers.com/sportsoddshistory (closing line)
2023,TB,6.0,covers.com/sportsoddshistory (closing line)
2023,TEN,7.5,covers.com/sportsoddshistory (closing line)
2023,WAS,6.5,covers.com/sportsoddshistory (closing line)
2024,ARI,7.0,covers.com/sportsoddshistory (closing line)
2024,ATL,9.5,covers.com/sportsoddshistory (closing line)
2024,BAL,10.5,covers.com/sportsoddshistory (closing line)
2024,BUF,10.0,covers.com/sportsoddshistory (closing line)
2024,CAR,5.5,covers.com/sportsoddshistory (closing line)
2024,CHI,8.5,covers.com/sportsoddshistory (closing line)
2024,CIN,10.5,covers.com/sportsoddshistory (closing line)
2024,CLE,8.5,covers.com/sportsoddshistory (closing line)
2024,DAL,10.0,covers.com/sportsoddshistory (closing line)
2024,DEN,5.5,covers.com/sportsoddshistory (closing line)
2024,DET,10.5,covers.com/sportsoddshistory (closing line)
2024,GB,10.0,covers.com/sportsoddshistory (closing line)
2024,HOU,9.5,covers.com/sportsoddshistory (closing line)
2024,IND,8.5,covers.com/sportsoddshistory (closing line)
2024,JAX,8.5,covers.com/sportsoddshistory (closing line)
2024,KC,11.5,covers.com/sportsoddshistory (closing line)
2024,LA,8.5,covers.com/sportsoddshistory (closing line)
2024,LAC,9.0,covers.com/sportsoddshistory (closing line)
2024,LV,6.5,covers.com/sportsoddshistory (closing line)
2024,MIA,10.0,covers.com/sportsoddshistory (closing line)
2024,MIN,6.5,covers.com/sportsoddshistory (closing line)
2024,NE,4.5,covers.com/sportsoddshistory (closing line)
2024,NO,7.5,covers.com/sportsoddshistory (closing line)
2024,NYG,6.5,covers.com/sportsoddshistory (closing line)
2024,NYJ,9.5,covers.com/sportsoddshistory (closing line)
2024,PHI,10.5,covers.com/sportsoddshistory (closing line)
2024,PIT,8.0,covers.com/sportsoddshistory (closing line)
2024,SEA,7.5,covers.com/sportsoddshistory (closing line)
2024,SF,11.5,covers.com/sportsoddshistory (closing line)
2024,TB,7.5,covers.com/sportsoddshistory (closing line)
2024,TEN,6.5,covers.com/sportsoddshistory (closing line)
2024,WAS,6.5,covers.com/sportsoddshistory (closing line)
2025,ARI,8.5,covers.com/sportsoddshistory (closing line)
2025,ATL,8.5,covers.com/sportsoddshistory (closing line)
2025,BAL,11.5,covers.com/sportsoddshistory (closing line)
2025,BUF,12.5,covers.com/sportsoddshistory (closing line)
2025,CAR,6.5,covers.com/sportsoddshistory (closing line)
2025,CHI,8.5,covers.com/sportsoddshistory (closing line)
2025,CIN,9.5,covers.com/sportsoddshistory (closing line)
2025,CLE,4.5,covers.com/sportsoddshistory (closing line)
2025,DAL,7.5,covers.com/sportsoddshistory (closing line)
2025,DEN,9.5,covers.com/sportsoddshistory (closing line)
2025,DET,10.5,covers.com/sportsoddshistory (closing line)
2025,GB,10.5,covers.com/sportsoddshistory (closing line)
2025,HOU,9.5,covers.com/sportsoddshistory (closing line)
2025,IND,7.5,covers.com/sportsoddshistory (closing line)
2025,JAX,7.5,covers.com/sportsoddshistory (closing line)
2025,KC,11.5,covers.com/sportsoddshistory (closing line)
2025,LA,9.5,covers.com/sportsoddshistory (closing line)
2025,LAC,9.5,covers.com/sportsoddshistory (closing line)
2025,LV,6.5,covers.com/sportsoddshistory (closing line)
2025,MIA,7.5,covers.com/sportsoddshistory (closing line)
2025,MIN,9.5,covers.com/sportsoddshistory (closing line)
2025,NE,8.5,covers.com/sportsoddshistory (closing line)
2025,NO,4.5,covers.com/sportsoddshistory (closing line)
2025,NYG,5.5,covers.com/sportsoddshistory (closing line)
2025,NYJ,6.5,covers.com/sportsoddshistory (closing line)
2025,PHI,11.5,covers.com/sportsoddshistory (closing line)
2025,PIT,8.5,covers.com/sportsoddshistory (closing line)
2025,SEA,8.5,covers.com/sportsoddshistory (closing line)
2025,SF,10.5,covers.com/sportsoddshistory (closing line)
2025,TB,9.5,covers.com/sportsoddshistory (closing line)
2025,TEN,6.5,covers.com/sportsoddshistory (closing line)
2025,WAS,9.5,covers.com/sportsoddshistory (closing line)
2026,ARI,3.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,ATL,6.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,BAL,11.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,BUF,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,CAR,7.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,CHI,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,CIN,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,CLE,5.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,DAL,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,DEN,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,DET,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,GB,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,HOU,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,IND,7.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,JAX,8.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,KC,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,LA,11.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,LAC,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,LV,5.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,MIA,4.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,MIN,8.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,NE,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,NO,7.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,NYG,7.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,NYJ,5.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,PHI,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,PIT,8.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,SEA,10.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,SF,9.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,TB,8.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,TEN,6.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
2026,WAS,7.5,FOX Sports (foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads)
